symbol;codepoint;width;height;mass_total;centroid_x;centroid_y;centroid_x_norm;centroid_y_norm;inertia_horizontal;inertia_vertical;inertia_horizontal_norm;inertia_vertical_norm;q1_top_left_mass;q1_top_left_specific_mass;q2_top_right_mass;q2_top_right_specific_mass;q3_bottom_left_mass;q3_bottom_left_specific_mass;q4_bottom_right_mass;q4_bottom_right_specific_mass
а;u0430;33;35;393;16.651399;17.653944;0.520356;0.519234;25176.936387;20297.24173;0.055418;0.050436;67;0.246324;102;0.352941;107;0.371528;117;0.382353
ә;u04d9;33;35;381;16.346457;17.091864;0.510827;0.502702;22431.784777;19960.267717;0.050931;0.051161;74;0.272059;91;0.314879;104;0.361111;112;0.366013
б;u0431;34;46;492;15.900407;22.400407;0.481831;0.497787;60252.119919;30080.119919;0.060476;0.056142;143;0.365729;115;0.294118;119;0.304348;115;0.294118
в;u0432;31;35;404;14.091584;17.10396;0.469719;0.503058;27149.633663;19805.611386;0.058133;0.054471;101;0.396078;91;0.334559;106;0.392593;106;0.368056
г;u0433;24;35;179;7.96648;14.173184;0.346369;0.416858;12633.631285;2833.798883;0.061054;0.029927;77;0.377451;32;0.156863;70;0.324074;0;0.0
ғ;u0493;27;35;215;11.027907;14.395349;0.42415;0.423393;12731.395349;3637.832558;0.051225;0.02503;81;0.366516;55;0.231092;74;0.316239;5;0.019841
д;u0434;37;43;435;18.983908;20.65977;0.527331;0.491899;45059.645977;32492.887356;0.058722;0.057636;85;0.224868;113;0.283208;115;0.290404;122;0.291866
е;u0435;33;35;376;15.625;16.93617;0.488281;0.498123;21988.468085;19868.125;0.050588;0.051602;92;0.338235;96;0.33218;97;0.336806;91;0.297386
ё;u0451;33;44;431;15.696056;23.392111;0.490502;0.544003;41168.733179;21251.183295;0.05166;0.048151;83;0.235795;89;0.237968;131;0.372159;128;0.342246
ж;u0436;43;35;429;21.020979;16.972028;0.5005;0.499177;26409.664336;34738.811189;0.053253;0.045905;95;0.266106;108;0.28877;105;0.277778;121;0.305556
з;u0437;29;35;290;15.468966;17.32069;0.552463;0.509432;20193.175862;9006.22069;0.060235;0.039612;49;0.205882;87;0.341176;58;0.230159;96;0.355556
и;u0438;31;35;374;15.0;17.010695;0.5;0.500315;20759.957219;23866.0;0.048017;0.070903;67;0.262745;112;0.411765;116;0.42963;79;0.274306
й;u0439;31;46;441;15.058957;24.84127;0.501965;0.552028;45718.888889;25118.46712;0.051196;0.063287;70;0.202899;102;0.277174;143;0.414493;126;0.342391
к;u043a;28;35;283;11.459364;17.007067;0.424421;0.500208;17363.985866;9518.282686;0.053077;0.046136;77;0.323529;57;0.239496;86;0.34127;63;0.25
қ;u049b;28;43;340;12.788235;19.144118;0.473638;0.455812;28877.938235;13266.752941;0.048149;0.053525;118;0.401361;71;0.241497;51;0.165584;100;0.324675
л;u043b;35;35;351;18.521368;15.91453;0.544746;0.468074;24983.435897;24413.589744;0.061573;0.060168;86;0.297578;101;0.330065;94;0.30719;70;0.216049
м;u043c;37;35;487;17.983573;17.024641;0.499544;0.500725;27475.704312;45747.868583;0.048805;0.072483;121;0.395425;112;0.346749;123;0.37963;131;0.383041
н;u043d;31;35;345;15.4;16.930435;0.513333;0.497954;18088.330435;23910.8;0.045355;0.077007;77;0.301961;90;0.330882;82;0.303704;96;0.333333
ң;u04a3;33;43;385;16.574026;18.631169;0.517938;0.443599;28101.625974;28536.14026;0.041378;0.072383;113;0.33631;122;0.341737;50;0.142045;100;0.26738
о;u043e;34;35;339;16.766962;17.00885;0.50809;0.50026;22428.973451;21256.589971;0.057234;0.057579;82;0.283737;82;0.283737;87;0.284314;88;0.287582
ө;u04e9;34;35;401;16.790524;16.900249;0.508804;0.497066;22742.009975;22340.40399;0.04906;0.051159;97;0.33564;99;0.342561;101;0.330065;104;0.339869
п;u043f;30;35;318;14.5;15.264151;0.5;0.448946;21829.811321;20619.5;0.059383;0.0771;89;0.34902;89;0.34902;70;0.259259;70;0.259259
р;u0440;32;45;412;13.257282;19.184466;0.427654;0.436011;41303.980583;24980.728155;0.051783;0.063093;123;0.349432;105;0.298295;128;0.347826;56;0.152174
с;u0441;32;35;281;14.11032;17.046263;0.455172;0.501361;20994.398577;13587.580071;0.064631;0.050317;78;0.286765;58;0.213235;83;0.288194;62;0.215278
т;u0442;30;35;203;14.216749;13.147783;0.490233;0.3867;14255.566502;3784.463054;0.060748;0.022167;71;0.278431;62;0.243137;42;0.155556;28;0.103704
у;u0443;33;45;322;14.736025;20.23913;0.460501;0.45998;35838.586957;11182.562112;0.05749;0.033915;95;0.269886;89;0.237968;95;0.258152;43;0.109974
ұ;u04b1;34;45;398;16.505025;21.665829;0.500152;0.492405;43144.555276;14173.48995;0.055993;0.032701;99;0.264706;98;0.262032;100;0.255754;101;0.258312
ү;u04af;34;45;334;16.505988;19.58982;0.500181;0.445223;34112.805389;10701.488024;0.052755;0.029422;99;0.264706;98;0.262032;68;0.173913;69;0.176471
ф;u0444;47;55;657;22.951294;26.984779;0.498941;0.499718;75143.847793;72284.4414;0.039223;0.051995;150;0.241546;172;0.265432;157;0.243789;178;0.264881
х;u0445;34;35;300;16.456667;17.163333;0.498687;0.504804;19868.996667;10928.436667;0.057292;0.033451;72;0.249135;70;0.242215;79;0.25817;79;0.25817
һ;u04bb;31;45;370;13.381081;23.202703;0.446036;0.527334;33429.797297;25059.267568;0.046669;0.075253;118;0.357576;58;0.164773;97;0.281159;97;0.263587
ц;u0446;34;43;396;16.919192;20.484848;0.512703;0.487734;33578.909091;30187.414141;0.04807;0.070001;85;0.238095;102;0.285714;82;0.219251;127;0.339572
ч;u0447;31;35;268;17.145522;15.287313;0.571517;0.449627;12396.876866;16147.324627;0.040015;0.066946;75;0.294118;68;0.25;29;0.107407;96;0.333333
ш;u0448;43;35;485;21.0;18.896907;0.5;0.555791;33504.845361;66720.0;0.05976;0.077986;91;0.254902;104;0.278075;138;0.365079;152;0.383838
щ;u0449;46;43;529;22.550095;20.058601;0.501113;0.477586;41871.183365;80780.922495;0.044871;0.07541;153;0.31677;102;0.21118;130;0.256917;144;0.284585
ъ;u044a;38;35;324;18.37037;18.756173;0.496496;0.551652;20241.737654;18659.555556;0.054044;0.042068;99;0.306502;20;0.06192;88;0.25731;117;0.342105
ы;u044b;39;35;432;18.587963;19.081019;0.489157;0.561206;23886.164352;50360.657407;0.04783;0.080731;85;0.263158;71;0.208824;130;0.380117;146;0.405556
і;u0456;13;45;160;6.0;23.71875;0.5;0.539062;17542.34375;320.0;0.056632;0.013889;26;0.19697;39;0.253247;38;0.275362;57;0.354037
ь;u044c;31;35;299;12.508361;20.053512;0.416945;0.589809;14805.143813;14684.729097;0.042834;0.05457;77;0.301961;13;0.047794;106;0.392593;103;0.357639
э;u044d;32;35;323;16.702786;17.120743;0.5388;0.503551;21200.291022;14153.467492;0.056778;0.045597;65;0.238971;89;0.327206;69;0.239583;100;0.347222
ю;u044e;42;35;478;19.518828;16.916318;0.476069;0.497539;29144.65272;56129.330544;0.052744;0.069854;131;0.366947;102;0.285714;138;0.365079;107;0.283069
я;u044f;32;35;364;16.92033;16.076923;0.545817;0.472851;22363.846154;19324.68956;0.053148;0.055244;84;0.308824;93;0.341912;88;0.305556;99;0.34375
